items,sentiment_score_definition,relevance_score_definition,feed
50,x <= -0.35: Bearish; -0.35 < x <= -0.15: Somewhat-Bearish; -0.15 < x < 0.15: Neutral; 0.15 <= x < 0.35: Somewhat_Bullish; x >= 0.35: Bullish,"0 < x <= 1, with a higher score indicating higher relevance.","{'title': 'Large-scale LNG Terminals Market Size & Share to Surpass USD 3.2 billion by 2031 | Transparency Market Research, Inc.', 'url': 'https://www.benzinga.com/pressreleases/23/12/g36181681/large-scale-lng-terminals-market-size-share-to-surpass-usd-3-2-billion-by-2031-transparency-market', 'time_published': '20231211T180000', 'authors': ['Globe Newswire'], 'summary': 'Wilmington, Delaware, United States, Dec. 11, 2023 ( GLOBE NEWSWIRE ) -- Transparency Market Research Inc. - The market for large-scale LNG terminals is projected to surge at a CAGR of 3.9% between 2023 and 2031.', 'banner_image': 'https://www.benzinga.com/next-assets/images/schema-image-default.png', 'source': 'Benzinga', 'category_within_source': 'General', 'source_domain': 'www.benzinga.com', 'topics': [{'topic': 'Energy & Transportation', 'relevance_score': '0.5'}, {'topic': 'Financial Markets', 'relevance_score': '0.929393'}, {'topic': 'Manufacturing', 'relevance_score': '0.5'}], 'overall_sentiment_score': 0.437252, 'overall_sentiment_label': 'Bullish', 'ticker_sentiment': [{'ticker': 'CETY', 'relevance_score': '0.032691', 'ticker_sentiment_score': '0.363009', 'ticker_sentiment_label': 'Bullish'}, {'ticker': 'TTE', 'relevance_score': '0.065327', 'ticker_sentiment_score': '0.267275', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'COP', 'relevance_score': '0.032691', 'ticker_sentiment_score': '0.0', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'RYDAF', 'relevance_score': '0.065327', 'ticker_sentiment_score': '0.301165', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'SRE', 'relevance_score': '0.032691', 'ticker_sentiment_score': '0.333715', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'XOM', 'relevance_score': '0.130217', 'ticker_sentiment_score': '0.290429', 'ticker_sentiment_label': 'Somewhat-Bullish'}]}"
50,x <= -0.35: Bearish; -0.35 < x <= -0.15: Somewhat-Bearish; -0.15 < x < 0.15: Neutral; 0.15 <= x < 0.35: Somewhat_Bullish; x >= 0.35: Bullish,"0 < x <= 1, with a higher score indicating higher relevance.","{'title': 'Reunion Gold Comments on the Border Controversy Between Guyana and Venezuela', 'url': 'https://www.globenewswire.com/news-release/2023/12/11/2794132/0/en/Reunion-Gold-Comments-on-the-Border-Controversy-Between-Guyana-and-Venezuela.html', 'time_published': '20231211T172500', 'authors': ['Reunion Gold Corporation'], 'summary': 'LONGUEUIL, Québec, Dec. 11, 2023 ( GLOBE NEWSWIRE ) -- Reunion Gold Corporation ( TSXV: RGD. OTCQX: RGDFF ) ( the ""Company"" or ""Reunion Gold"" ) wishes to comment on the border controversy between the Co-operative Republic of Guyana and the Bolivarian Republic of Venezuela following a consultative ...', 'banner_image': 'https://ml.globenewswire.com/Resource/Download/6e51f9e9-5cfe-4103-90b5-523cc72bb74a', 'source': 'GlobeNewswire', 'category_within_source': 'n/a', 'source_domain': 'www.globenewswire.com', 'topics': [{'topic': 'Energy & Transportation', 'relevance_score': '1.0'}], 'overall_sentiment_score': 0.089061, 'overall_sentiment_label': 'Neutral', 'ticker_sentiment': [{'ticker': 'GOLD', 'relevance_score': '0.037329', 'ticker_sentiment_score': '-0.080012', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'XOM', 'relevance_score': '0.037329', 'ticker_sentiment_score': '0.066031', 'ticker_sentiment_label': 'Neutral'}]}"
50,x <= -0.35: Bearish; -0.35 < x <= -0.15: Somewhat-Bearish; -0.15 < x < 0.15: Neutral; 0.15 <= x < 0.35: Somewhat_Bullish; x >= 0.35: Bullish,"0 < x <= 1, with a higher score indicating higher relevance.","{'title': 'Frontera, CGX hope to see first oil in Guyana by 2030 -executives', 'url': 'https://www.reuters.com/business/energy/frontera-cgx-hope-see-first-oil-guyana-by-2030-executives-2023-12-11/', 'time_published': '20231211T162900', 'authors': ['Reuters'], 'summary': 'Frontera, CGX hope to see first oil in Guyana by ...', 'banner_image': 'https://www.reuters.com/pf/resources/images/reuters/reuters-default.webp?d=165', 'source': 'Reuters', 'category_within_source': 'Business', 'source_domain': 'www.reuters.com', 'topics': [{'topic': 'Energy & Transportation', 'relevance_score': '1.0'}], 'overall_sentiment_score': 0.160799, 'overall_sentiment_label': 'Somewhat-Bullish', 'ticker_sentiment': [{'ticker': 'CGXEF', 'relevance_score': '0.327366', 'ticker_sentiment_score': '0.104952', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'XOM', 'relevance_score': '0.327366', 'ticker_sentiment_score': '0.112273', 'ticker_sentiment_label': 'Neutral'}]}"
50,x <= -0.35: Bearish; -0.35 < x <= -0.15: Somewhat-Bearish; -0.15 < x < 0.15: Neutral; 0.15 <= x < 0.35: Somewhat_Bullish; x >= 0.35: Bullish,"0 < x <= 1, with a higher score indicating higher relevance.","{'title': 'Zacks Value Trader Highlights: Exxon Mobil, Chevron, Diamondback Energy, Matador Resources and SLB', 'url': 'https://www.zacks.com/stock/news/2196043/zacks-value-trader-highlights-exxon-mobil-chevron-diamondback-energy-matador-resources-and-slb', 'time_published': '20231211T135400', 'authors': ['Zacks Equity Research'], 'summary': 'Exxon Mobil, Chevron, Diamondback Energy, Matador Resources and SLB are part of the Zacks Value Trader Blog.', 'banner_image': 'https://staticx-tuner.zacks.com/images/articles/main/07/420.jpg', 'source': 'Zacks Commentary', 'category_within_source': 'n/a', 'source_domain': 'www.zacks.com', 'topics': [{'topic': 'Earnings', 'relevance_score': '0.451494'}, {'topic': 'Energy & Transportation', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.999997'}], 'overall_sentiment_score': 0.241857, 'overall_sentiment_label': 'Somewhat-Bullish', 'ticker_sentiment': [{'ticker': 'MTDR', 'relevance_score': '0.318897', 'ticker_sentiment_score': '0.231848', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'CVX', 'relevance_score': '0.230892', 'ticker_sentiment_score': '0.094041', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'FANG', 'relevance_score': '0.27535', 'ticker_sentiment_score': '0.044305', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'HES', 'relevance_score': '0.046816', 'ticker_sentiment_score': '0.105671', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'XOM', 'relevance_score': '0.361407', 'ticker_sentiment_score': '0.081892', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'SLB', 'relevance_score': '0.139804', 'ticker_sentiment_score': '0.0627', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'PXD', 'relevance_score': '0.09347', 'ticker_sentiment_score': '0.148676', 'ticker_sentiment_label': 'Neutral'}]}"
50,x <= -0.35: Bearish; -0.35 < x <= -0.15: Somewhat-Bearish; -0.15 < x < 0.15: Neutral; 0.15 <= x < 0.35: Somewhat_Bullish; x >= 0.35: Bullish,"0 < x <= 1, with a higher score indicating higher relevance.","{'title': 'P/E Ratio Insights for Exxon Mobil - Exxon Mobil  ( NYSE:XOM ) ', 'url': 'https://www.benzinga.com/news/23/12/36175515/pe-ratio-insights-for-exxon-mobil', 'time_published': '20231211T133012', 'authors': ['Benzinga Insights'], 'summary': 'In the current market session, Exxon Mobil Inc. XOM price is at $99.65, after a 0.10% increase. However, over the past month, the stock fell by 4.45%, and in the past year, by 7.09%. Shareholders might be interested in knowing whether the stock is undervalued, even if the company is performing up ...', 'banner_image': 'https://cdn.benzinga.com/files/images/story/2023/movers_image_5.jpeg?width=1200&height=800&fit=crop', 'source': 'Benzinga', 'category_within_source': 'Markets', 'source_domain': 'www.benzinga.com', 'topics': [{'topic': 'Earnings', 'relevance_score': '0.310843'}, {'topic': 'Energy & Transportation', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.365926'}], 'overall_sentiment_score': 0.01663, 'overall_sentiment_label': 'Neutral', 'ticker_sentiment': [{'ticker': 'XOM', 'relevance_score': '0.535653', 'ticker_sentiment_score': '0.248377', 'ticker_sentiment_label': 'Somewhat-Bullish'}]}"
50,x <= -0.35: Bearish; -0.35 < x <= -0.15: Somewhat-Bearish; -0.15 < x < 0.15: Neutral; 0.15 <= x < 0.35: Somewhat_Bullish; x >= 0.35: Bullish,"0 < x <= 1, with a higher score indicating higher relevance.","{'title': 'Warren Buffett-Backed Occidental Petroleum Makes $12 Billion Deal For Permian Producer', 'url': 'https://www.investors.com/news/warren-buffett-backed-occidental-petroleum-seals-12-billion-deal-for-permian-producer/', 'time_published': '20231211T130100', 'authors': ['KIT NORTON', ""Investor's Business Daily""], 'summary': ""Warren Buffett-backed Occidental Petroleum ( OXY ) announced Monday it agreed to purchase privately held Permian Basin oil producer, CrownRock. The deal, valued at around $12 billion, would be the company's first major acquisition since 2019. OXY shares edged lower early."", 'banner_image': 'https://www.investors.com/wp-content/uploads/2021/10/Stock-oilderrick-02-adobe.jpg', 'source': 'Investors Business Daily', 'category_within_source': 'n/a', 'source_domain': 'www.investors.com', 'topics': [{'topic': 'Retail & Wholesale', 'relevance_score': '0.25'}, {'topic': 'Financial Markets', 'relevance_score': '0.989041'}, {'topic': 'Manufacturing', 'relevance_score': '0.25'}, {'topic': 'Mergers & Acquisitions', 'relevance_score': '0.158519'}, {'topic': 'Energy & Transportation', 'relevance_score': '0.25'}, {'topic': 'Finance', 'relevance_score': '0.25'}], 'overall_sentiment_score': 0.082888, 'overall_sentiment_label': 'Neutral', 'ticker_sentiment': [{'ticker': 'OXY', 'relevance_score': '0.605937', 'ticker_sentiment_score': '0.067747', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'TSLA', 'relevance_score': '0.067919', 'ticker_sentiment_score': '0.161606', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'CVX', 'relevance_score': '0.329992', 'ticker_sentiment_score': '0.206332', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'SBUX', 'relevance_score': '0.067919', 'ticker_sentiment_score': '0.175698', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'BRK-A', 'relevance_score': '0.067919', 'ticker_sentiment_score': '-0.084217', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'HES', 'relevance_score': '0.135347', 'ticker_sentiment_score': '0.0', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'XOM', 'relevance_score': '0.266828', 'ticker_sentiment_score': '0.174648', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'PXD', 'relevance_score': '0.135347', 'ticker_sentiment_score': '0.0', 'ticker_sentiment_label': 'Neutral'}]}"
50,x <= -0.35: Bearish; -0.35 < x <= -0.15: Somewhat-Bearish; -0.15 < x < 0.15: Neutral; 0.15 <= x < 0.35: Somewhat_Bullish; x >= 0.35: Bullish,"0 < x <= 1, with a higher score indicating higher relevance.","{'title': 'Freehold Royalties Ltd. Enters into Agreements to Acquire Permian Basin Royalty Assets for CAD$112 million', 'url': 'https://www.benzinga.com/pressreleases/23/12/g36174756/freehold-royalties-ltd-enters-into-agreements-to-acquire-permian-basin-royalty-assets-for-cad-112-', 'time_published': '20231211T130013', 'authors': ['Globe Newswire'], 'summary': ""123,000 gross acres ( 2,670 net royalty acres ) predominately in the core of the Midland basin; Adds 600 boe/d of US production in 2024; 40% increase to Freehold's Permian land position; and 25% increase to Freehold's US drilling inventory."", 'banner_image': 'https://www.benzinga.com/next-assets/images/schema-image-default.png', 'source': 'Benzinga', 'category_within_source': 'General', 'source_domain': 'www.benzinga.com', 'topics': [{'topic': 'Economy - Monetary', 'relevance_score': '0.158519'}, {'topic': 'Financial Markets', 'relevance_score': '0.839681'}, {'topic': 'Earnings', 'relevance_score': '0.158519'}, {'topic': 'Mergers & Acquisitions', 'relevance_score': '0.82617'}, {'topic': 'Energy & Transportation', 'relevance_score': '1.0'}, {'topic': 'Economy - Macro', 'relevance_score': '0.158519'}], 'overall_sentiment_score': 0.197609, 'overall_sentiment_label': 'Somewhat-Bullish', 'ticker_sentiment': [{'ticker': 'AWON', 'relevance_score': '0.01626', 'ticker_sentiment_score': '0.038626', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'MRO', 'relevance_score': '0.01626', 'ticker_sentiment_score': '0.116746', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'FANG', 'relevance_score': '0.01626', 'ticker_sentiment_score': '0.116746', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'PXD', 'relevance_score': '0.032513', 'ticker_sentiment_score': '0.107016', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'FRHLF', 'relevance_score': '0.01626', 'ticker_sentiment_score': '0.090263', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'XOM', 'relevance_score': '0.032513', 'ticker_sentiment_score': '0.107016', 'ticker_sentiment_label': 'Neutral'}]}"
50,x <= -0.35: Bearish; -0.35 < x <= -0.15: Somewhat-Bearish; -0.15 < x < 0.15: Neutral; 0.15 <= x < 0.35: Somewhat_Bullish; x >= 0.35: Bullish,"0 < x <= 1, with a higher score indicating higher relevance.","{'title': 'Freehold Royalties Ltd. Enters into Agreements to Acquire Permian Basin Royalty Assets for CAD$112 million', 'url': 'https://www.globenewswire.com/news-release/2023/12/11/2793831/0/en/Freehold-Royalties-Ltd-Enters-into-Agreements-to-Acquire-Permian-Basin-Royalty-Assets-for-CAD-112-million.html', 'time_published': '20231211T130000', 'authors': ['Freehold Royalties Ltd.'], 'summary': 'Highlights ...', 'banner_image': 'https://ml.globenewswire.com/Resource/Download/159d9b07-c38f-46a2-a376-1c4913564142', 'source': 'GlobeNewswire', 'category_within_source': 'n/a', 'source_domain': 'www.globenewswire.com', 'topics': [{'topic': 'Economy - Monetary', 'relevance_score': '0.158519'}, {'topic': 'Financial Markets', 'relevance_score': '0.744043'}, {'topic': 'Earnings', 'relevance_score': '0.158519'}, {'topic': 'Mergers & Acquisitions', 'relevance_score': '0.82617'}, {'topic': 'Energy & Transportation', 'relevance_score': '1.0'}, {'topic': 'Economy - Macro', 'relevance_score': '0.158519'}], 'overall_sentiment_score': 0.197722, 'overall_sentiment_label': 'Somewhat-Bullish', 'ticker_sentiment': [{'ticker': 'AWON', 'relevance_score': '0.01653', 'ticker_sentiment_score': '0.041285', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'MRO', 'relevance_score': '0.01653', 'ticker_sentiment_score': '0.08206', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'FANG', 'relevance_score': '0.01653', 'ticker_sentiment_score': '0.08206', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'PXD', 'relevance_score': '0.033052', 'ticker_sentiment_score': '0.092399', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'FRHLF', 'relevance_score': '0.01653', 'ticker_sentiment_score': '0.083294', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'XOM', 'relevance_score': '0.033052', 'ticker_sentiment_score': '0.092399', 'ticker_sentiment_label': 'Neutral'}]}"
50,x <= -0.35: Bearish; -0.35 < x <= -0.15: Somewhat-Bearish; -0.15 < x < 0.15: Neutral; 0.15 <= x < 0.35: Somewhat_Bullish; x >= 0.35: Bullish,"0 < x <= 1, with a higher score indicating higher relevance.","{'title': ""Business booms on sidelines of COP28 as 'startup village' clinch deals"", 'url': 'https://www.business-standard.com/world-news/business-booms-on-sidelines-of-cop28-as-startup-village-clinch-deals-123121100827_1.html', 'time_published': '20231211T122635', 'authors': ['Reuters'], 'summary': 'A stand in the COP28 ""startup village"" has proved the arena to gain high level access and even clinch deals on the sidelines of UN climate talks that are striving for an agreement as countries argue over the future use of fossil fuels.', 'banner_image': 'https://bsmedia.business-standard.com/_media/bs/img/article/2023-12/04/full/1701706185-3186.jpg?im=FeatureCrop,size=(826,465)', 'source': 'Business Standard', 'category_within_source': 'GoogleRSS', 'source_domain': 'www.business-standard.com', 'topics': [{'topic': 'Energy & Transportation', 'relevance_score': '1.0'}], 'overall_sentiment_score': 0.203509, 'overall_sentiment_label': 'Somewhat-Bullish', 'ticker_sentiment': [{'ticker': 'STECF', 'relevance_score': '0.052455', 'ticker_sentiment_score': '0.115582', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'XOM', 'relevance_score': '0.052455', 'ticker_sentiment_score': '0.0', 'ticker_sentiment_label': 'Neutral'}]}"
50,x <= -0.35: Bearish; -0.35 < x <= -0.15: Somewhat-Bearish; -0.15 < x < 0.15: Neutral; 0.15 <= x < 0.35: Somewhat_Bullish; x >= 0.35: Bullish,"0 < x <= 1, with a higher score indicating higher relevance.","{'title': 'Occidental to pay $12 billion to buy private Permian Basin company CrownRock', 'url': 'https://www.marketwatch.com/story/occidental-to-pay-12b-to-buy-private-permian-basin-company-crownrock-a88d1921', 'time_published': '20231211T122400', 'authors': ['Steve Gelsi'], 'summary': 'Occidental plans to finance the deal with $9.1 billion of new debt and issuing about $1.7 billion of common equity, while assuming $1.2 billion of existing CrownRock debt.', 'banner_image': 'https://images.mktw.net/im-96326494/social', 'source': 'MarketWatch', 'category_within_source': 'Top Stories', 'source_domain': 'www.marketwatch.com', 'topics': [{'topic': 'Mergers & Acquisitions', 'relevance_score': '0.158519'}, {'topic': 'Energy & Transportation', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.918141'}], 'overall_sentiment_score': 0.021203, 'overall_sentiment_label': 'Neutral', 'ticker_sentiment': [{'ticker': 'OXY', 'relevance_score': '0.377142', 'ticker_sentiment_score': '0.023521', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'PXD', 'relevance_score': '0.377142', 'ticker_sentiment_score': '0.05761', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'XOM', 'relevance_score': '0.377142', 'ticker_sentiment_score': '0.05761', 'ticker_sentiment_label': 'Neutral'}]}"
