date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount
2023-12-14,99.8000,102.1350,97.4800,101.5800,101.5800,94417311,0.0000
2023-12-08,102.1300,103.3600,98.0900,99.5500,99.5500,126957363,0.0000
2023-12-01,104.1000,104.9100,101.6400,102.9900,102.9900,112545085,0.0000
2023-11-24,105.3800,105.8800,101.9400,104.5700,104.5700,60007008,0.0000
2023-11-17,104.0500,105.4300,101.1500,104.9600,104.9600,99167355,0.9500
2023-11-10,108.1700,108.2700,102.8550,103.7500,102.8135,94765699,0.0000
2023-11-03,105.7400,109.1900,104.5400,107.7800,106.8071,126318172,0.0000
2023-10-27,110.6300,110.9600,104.9600,105.5500,104.5972,98878679,0.0000
2023-10-20,110.5000,113.9650,109.1300,111.0800,110.0773,105025459,0.0000
2023-10-13,110.4400,112.0700,104.8300,109.8700,108.8782,155674148,0.0000
2023-10-06,117.5300,117.7900,105.1100,107.1700,106.2026,92810530,0.0000
2023-09-29,115.0900,120.7000,114.8300,117.5800,116.5186,82719282,0.0000
2023-09-22,117.5300,118.8400,114.6000,114.9400,113.9024,66108089,0.0000
2023-09-15,116.1800,118.6600,113.5650,116.7000,115.6466,97781217,0.0000
2023-09-08,114.1000,116.0500,113.2300,115.6100,114.5664,59164579,0.0000
2023-09-01,108.4500,113.8200,108.4200,113.5200,112.4953,64292508,0.0000
2023-08-25,110.3600,110.9793,105.7200,108.2500,107.2728,57446557,0.0000
2023-08-18,111.6800,111.9800,106.2750,110.0400,109.0467,74511579,0.9100
2023-08-11,107.9000,112.0700,104.8350,111.8300,109.8959,76280215,0.0000
2023-08-04,105.1900,109.2400,104.5700,107.4200,105.5622,82465784,0.0000
2023-07-28,104.3600,106.9900,102.3200,104.1600,102.3586,79616126,0.0000
2023-07-21,100.7200,104.3800,100.2200,103.8900,102.0932,91091874,0.0000
2023-07-14,102.9700,107.6500,100.5300,100.9400,99.1942,95705689,0.0000
2023-07-07,107.4900,108.4600,101.5600,103.1600,101.3759,59782238,0.0000
